"","CJ2_1","CJ2_2","CJ2_3","CS2_1","CS2_2","CS2_3"
"Label","CJ","CJ","CJ","CS","CS","CS"
"357.0533236","-0.8061197"," 1.9521111","-0.9210880"," 0.2332677","-0.3174467","-0.1407243"
"358.0744269","-3.839382","-1.762239"," 3.051821"," 3.500505"," 2.982613","-3.933318"
"359.238785"," 1.863538","-2.905829","-5.061831"," 1.841154"," 2.100782"," 2.162186"
"366.9282168","-2.5658254","-0.4886827","-2.6446848"," 4.0425149"," 4.3164398","-2.6597618"
"370.9186498","-2.8898058","-0.8126631","-2.9686652"," 4.6434034"," 5.0114731","-2.9837423"
"371.1173189"," 0.07511465"," 1.41417115","-0.89337479"," 0.40933827","-0.18912424","-0.81612504"
"372.1069014"," 0.2116582"," 1.0377572","-0.4433400"," 0.1397727","-0.4418233","-0.5040248"
"373.1174842","-0.4388591"," 1.8049015","-0.6881528"," 0.2819037","-0.2667629","-0.6930304"
"382.9720243","-2.4956092","-0.4184665"," 4.8417943","-3.2162431","-3.0789228"," 4.3674474"
"383.3315456"," 0.7915296","-4.1675273"," 1.0992027"," 0.4122553"," 0.5349946"," 1.3295453"
"384.9265655","-2.5623600","-0.4852173","-2.6412194"," 3.9834349"," 4.3616582","-2.6562964"
"391.2895383","-4.822990","-2.745848"," 1.953231"," 1.885823"," 1.880145"," 1.849639"
"393.1158504","-0.50994957"," 1.54840575","-0.08247432"," 0.02968617","-0.41523555","-0.57043247"
"393.3035227","-2.6376269","-0.5604842","-2.7164863"," 4.1356837"," 4.5104771","-2.7315634"
"394.1029943"," 0.7407494","-4.0258013"," 0.5921082"," 1.0261389"," 0.6020655"," 1.0647392"
"395.1275136","-0.61647380"," 1.62120232","-0.26958143","-0.26207474","-0.42624372","-0.04682863"
"398.9237985","-2.5873686","-0.5102259","-2.6662280"," 4.0457665"," 4.3993610","-2.6813051"
"402.8917469","-4.949684","-2.872542"," 1.945319"," 1.872144"," 2.321004"," 1.683759"
"413.274474","-0.1373586"," 1.5429164"," 0.2232521","-0.7284836","-0.2596008","-0.6407256"
"414.2774879","-0.61405606"," 1.88128407","-0.14195438","-0.84067669","-0.38272129"," 0.09812436"
"415.0448025","-0.443717712"," 1.669543312","-0.005066896","-0.530202593","-0.695930040"," 0.005373929"
"426.9105129","-2.5307112","-0.4535685","-2.6095706"," 3.9147323"," 4.3037656","-2.6246477"
"428.9012871","-2.5557102","-0.4785675","-2.6345696"," 4.0861229"," 4.2323711","-2.6496467"
"429.0956653"," 0.1622313"," 1.9614900","-0.9108207","-0.3957475","-0.6843091","-0.1328441"
"430.0972958","-0.68299834"," 1.93762639","-0.27047865","-0.30179201","-0.58317805","-0.09917933"
"430.8967616","-2.7719530","-0.6948102","-2.8508124"," 4.5677356"," 4.6157294","-2.8658894"
"431.0827593"," 0.07282697"," 1.67820931","-0.39453931","-0.36026119","-0.64155124","-0.35468455"
"432.0936065","-0.10911914"," 1.54550960"," 0.04875947","-0.45423137","-0.69221287","-0.33870568"
"432.9044284"," 0.6118083","-3.9319088"," 0.9796318"," 0.8931254"," 0.9380654"," 0.5092779"
"437.3309524","-4.909889","-2.832746"," 2.096661"," 1.504696"," 1.981196"," 2.160083"
"441.3048968","-0.07780767"," 1.52306454","-0.23392574","-0.91113130","-0.35894922"," 0.05874939"
"442.3118294","-3.562590","-1.485448"," 2.948713","-4.283224"," 3.157003"," 3.225546"
"445.1273689"," 0.16397527"," 1.84737170","-1.01160507","-0.32195589","-0.59791427","-0.07987175"
"446.1293491","-0.01173079"," 1.27818141","-0.19142067","-0.38919606","-0.66394812","-0.02188576"
"447.14133","-0.2050440"," 1.1796291"," 0.2832893","-0.3608680","-0.6427836","-0.2542227"
"447.3591974","-2.5207868","-0.4436441","-2.5996462"," 3.9416791"," 4.2371212","-2.6147232"
"448.1263936","-0.4011446"," 1.6699568","-0.5031053","-0.4118942","-0.6688275"," 0.3150147"
